역명,총승하차인원,사용일자수,평균 하루 총 승하차인원
서울역,7885090,39,202182.0
잠실(송파구청),7591975,39,194666.0
홍대입구,7320568,39,187707.0
고속터미널,6620882,39,169766.0
강남,5918173,39,151748.0
사당,5434313,39,139341.0
선릉,5188505,39,133039.0
가산디지털단지,4584415,39,117549.0
여의도,4432113,39,113644.0
신림,4431874,39,113638.0
구로디지털단지,4358908,39,111767.0
종로3가,4327110,39,110952.0
신도림,4320476,39,110781.0
시청,4301139,39,110286.0
삼성(무역센터),4092332,39,104932.0
건대입구,4070113,39,104362.0
역삼,3983004,39,102128.0
수원,3925319,39,100649.0
을지로입구,3873942,39,99332.0
합정,3784648,39,97042.0
성수,3740845,39,95919.0
교대(법원.검찰청),3598391,39,92266.0
서울대입구(관악구청),3580261,39,91802.0
용산,3465827,39,88867.0
노원,3365126,39,86285.0
청량리(서울시립대입구),3299193,39,84595.0
영등포,3281567,39,84143.0
공덕,3189274,39,81776.0
신촌,3181428,39,81575.0
명동,3093943,39,79332.0
동대문역사문화공원(DDP),3061482,39,78500.0
당산,3041720,39,77993.0
종각,2944283,39,75494.0
천호(풍납토성),2941735,39,75429.0
혜화,2941217,39,75416.0
양재(서초구청),2935162,39,75261.0
왕십리(성동구청),2916135,39,74773.0
수서,2894516,39,74218.0
노량진,2867887,39,73536.0
을지로3가,2834855,39,72689.0
광화문(세종문화회관),2746511,39,70423.0
수유(강북구청),2702613,39,69298.0
대림(구로구청),2687997,39,68923.0
연신내,2644750,39,67814.0
동대문,2586201,39,66313.0
부천,2536115,39,65029.0
충무로,2514283,39,64469.0
압구정,2489865,39,63843.0
디지털미디어시티,2473236,39,63416.0
안국,2413429,39,61883.0
신논현,2400448,39,61550.0
남부터미널(예술의전당),2380068,39,61027.0
경복궁(정부서울청사),2379023,39,61001.0
부평,2343650,39,60094.0
김포공항,2304540,39,59091.0
회현(남대문시장),2289757,39,58712.0
쌍문,2237748,39,57378.0
금정,2236313,39,57341.0
범계,2204990,39,56538.0
창동,2199312,39,56393.0
강변(동서울터미널),2192855,39,56227.0
신사,2168949,39,55614.0
회기,2162095,39,55438.0
낙성대(강감찬),2159241,39,55365.0
화곡,2127560,39,54553.0
까치산,2119795,39,54354.0
영등포구청,2110885,39,54125.0
역곡,2110827,39,54124.0
강남구청,2080613,39,53349.0
미아사거리,2079796,39,53328.0
성신여대입구(돈암),2074022,39,53180.0
송내,2063674,39,52915.0
야탑,2059895,39,52818.0
모란,2056574,39,52733.0
뚝섬,2054341,39,52675.0
인덕원,2034531,39,52167.0
군자(능동),2032040,39,52104.0
신대방,1958743,39,50224.0
구의(광진구청),1937678,39,49684.0
안양,1937059,39,49668.0
신당,1894055,39,48566.0
마곡나루(서울식물원),1891680,39,48505.0
종로5가,1865106,39,47823.0
서현,1863581,39,47784.0
상봉,1826387,39,46830.0
봉천,1826342,39,46829.0
잠실새내,1823926,39,46767.0
문래,1798321,39,46111.0
발산,1784710,39,45762.0
학동,1781317,39,45675.0
불광,1767233,39,45314.0
구파발,1749643,39,44863.0
길음,1733028,39,44437.0
가양,1730912,39,44382.0
개봉,1716608,39,44016.0
서초,1712219,39,43903.0
문정,1703054,39,43668.0
철산,1685628,39,43221.0
봉은사,1672492,39,42884.0
오목교(목동운동장앞),1658400,39,42523.0
석계,1647579,39,42246.0
신용산,1646477,39,42217.0
신설동,1611182,39,41312.0
을지로4가,1608994,39,41256.0
동묘앞,1603152,39,41106.0
압구정로데오,1590854,39,40791.0
총신대입구(이수),1590624,39,40785.0
광명사거리,1578717,39,40480.0
의정부,1572086,39,40310.0
중앙,1553677,39,39838.0
서대문,1548341,39,39701.0
장한평,1511686,39,38761.0
삼송,1501280,39,38494.0
상계,1501145,39,38491.0
청담,1484836,39,38073.0
이대,1464459,39,37550.0
석촌,1450465,39,37191.0
강동,1450061,39,37181.0
미사,1436597,39,36836.0
정자,1434765,39,36789.0
논현,1428753,39,36635.0
구로,1425578,39,36553.0
주안,1422603,39,36477.0
도봉산,1418808,39,36380.0
홍제,1416938,39,36332.0
어린이대공원(세종대),1414785,39,36277.0
제기동,1405619,39,36042.0
가락시장,1401714,39,35941.0
화정,1400487,39,35910.0
하계,1399139,39,35875.0
응암,1392323,39,35701.0
방배,1386790,39,35559.0
선정릉,1361656,39,34914.0
염창,1360594,39,34887.0
목동,1343517,39,34449.0
평촌,1343262,39,34443.0
산본,1338450,39,34319.0
독산,1326031,39,34001.0
장지,1305171,39,33466.0
망원,1303409,39,33421.0
병점,1303087,39,33412.0
약수,1300748,39,33353.0
국회의사당,1297921,39,33280.0
사가정,1294115,39,33182.0
여의나루,1285707,39,32967.0
온수(성공회대입구),1278948,39,32794.0
이수,1260684,39,32325.0
암사,1259111,39,32285.0
성균관대,1258964,39,32281.0
상록수,1253450,39,32140.0
동암,1247947,39,31999.0
한티,1244878,39,31920.0
미아(서울사이버대학),1241838,39,31842.0
아차산(어린이대공원후문),1235440,39,31678.0
숙대입구(갈월),1234260,39,31648.0
올림픽공원(한국체대),1208169,39,30979.0
미금,1206829,39,30944.0
답십리,1198725,39,30737.0
종합운동장,1188568,39,30476.0
숭실대입구(살피재),1183670,39,30351.0
죽전,1176325,39,30162.0
인천공항1터미널,1171210,39,30031.0
한성대입구(삼선교),1169120,39,29977.0
태릉입구,1168917,39,29972.0
충정로(경기대입구),1168599,39,29964.0
망포,1165512,39,29885.0
삼각지,1165148,39,29876.0
잠실나루,1164995,39,29872.0
녹번,1160599,39,29759.0
평택,1160420,39,29754.0
우장산,1158363,39,29702.0
면목,1154481,39,29602.0
수원시청,1149846,39,29483.0
대화,1138530,39,29193.0
남구로,1136745,39,29147.0
마포,1135843,39,29124.0
신대방삼거리,1134172,39,29081.0
중계,1124152,39,28824.0
마포구청,1123364,39,28804.0
내방,1120074,39,28720.0
상왕십리,1118884,39,28689.0
상일동,1118871,39,28689.0
서울숲,1113374,39,28548.0
동인천,1086442,39,27857.0
대방,1075360,39,27573.0
남한산성입구(성남법원.검찰청),1064187,39,27287.0
안암(고대병원앞),1060425,39,27190.0
회룡,1057694,39,27120.0
도곡,1052142,39,26978.0
한양대,1049125,39,26901.0
신길,1044264,39,26776.0
수내,1043557,39,26758.0
동대입구,1041369,39,26702.0
마들,1035428,39,26549.0
이촌(국립중앙박물관),1033636,39,26503.0
계양,1024317,39,26265.0
태평,1012752,39,25968.0
이태원,1001877,39,25689.0
수락산,998828,39,25611.0
정부과천청사,996270,39,25545.0
새절(신사),980233,39,25134.0
대치,975775,39,25020.0
공릉(서울과학기술대),974305,39,24982.0
상도,966323,39,24778.0
월곡(동덕여대),960290,39,24623.0
안산,954938,39,24486.0
신정(은행정),952328,39,24419.0
매봉,947100,39,24285.0
광나루(장신대),935472,39,23986.0
단대오거리,929790,39,23841.0
화서,929667,39,23838.0
등촌,927888,39,23792.0
한강진,922148,39,23645.0
영등포시장,921579,39,23630.0
가천대,902220,39,23134.0
오류동,894907,39,22946.0
언주,894164,39,22927.0
원흥,889559,39,22809.0
원당,889138,39,22798.0
마곡,888426,39,22780.0
금천구청,887715,39,22762.0
오산,886887,39,22741.0
상수,883184,39,22646.0
일산,881556,39,22604.0
남성,877878,39,22510.0
중앙보훈병원,877027,39,22488.0
천왕,875821,39,22457.0
화랑대(서울여대입구),872991,39,22384.0
효창공원앞,871999,39,22359.0
양평,870938,39,22332.0
신풍,864490,39,22166.0
제물포,856069,39,21950.0
보라매,855855,39,21945.0
아현,847177,39,21722.0
기흥,845803,39,21687.0
외대앞,842767,39,21609.0
자양(뚝섬한강공원),840476,39,21551.0
대청,837660,39,21478.0
일원,837590,39,21477.0
강동구청,835748,39,21429.0
중곡,834654,39,21401.0
정왕,829392,39,21266.0
오리,826920,39,21203.0
중화,822559,39,21091.0
한대앞,815428,39,20908.0
고덕,809980,39,20769.0
신정네거리,807598,39,20708.0
백석,807335,39,20701.0
남영,801212,39,20544.0
방학,799682,39,20505.0
주엽,795149,39,20388.0
오금,791357,39,20291.0
양천향교,785857,39,20150.0
거여,785130,39,20132.0
월드컵경기장(성산),784851,39,20124.0
운서,782554,39,20065.0
먹골,780469,39,20012.0
도농,778556,39,19963.0
돌곶이,774374,39,19856.0
대흥(서강대앞),773691,39,19838.0
흑석(중앙대입구),766617,39,19657.0
증산(명지대앞),763391,39,19574.0
보문,757996,39,19436.0
굽은다리(강동구민회관앞),756498,39,19397.0
구리,744684,39,19094.0
복정,739832,39,18970.0
송파,737328,39,18906.0
옥수,735011,39,18846.0
샛강,730372,39,18727.0
고잔,727962,39,18666.0
망월사,726681,39,18633.0
의왕,725758,39,18609.0
영통,724691,39,18582.0
야당,724046,39,18565.0
고려대(종암),723006,39,18539.0
서울대벤처타운,721802,39,18508.0
광흥창(서강),718758,39,18430.0
둔촌동,718526,39,18424.0
당고개,717704,39,18403.0
장승배기,714848,39,18329.0
중동,711185,39,18236.0
광운대,709023,39,18180.0
명학,705625,39,18093.0
두정,697961,39,17896.0
길동,681572,39,17476.0
서정리,679880,39,17433.0
독립문,674732,39,17301.0
부개,670222,39,17185.0
석수,665209,39,17057.0
하남시청(덕풍?신장),663715,39,17018.0
명일,663263,39,17007.0
봉화산(서울의료원),663140,39,17004.0
선유도,661158,39,16953.0
오이도,657755,39,16866.0
행신,654579,39,16784.0
신이문,644075,39,16515.0
마두,634267,39,16263.0
운정,631305,39,16187.0
양주,630643,39,16170.0
몽촌토성(평화의문),629607,39,16144.0
정발산,628944,39,16127.0
망우,622273,39,15956.0
소사,622148,39,15953.0
탄현,621600,39,15938.0
천안,618370,39,15856.0
금호,618133,39,15850.0
경기광주,615917,39,15793.0
삼전,610815,39,15662.0
지축,607350,39,15573.0
삼성중앙,601109,39,15413.0
행당,598089,39,15336.0
남위례,596510,39,15295.0
증미,595844,39,15278.0
청구,594055,39,15232.0
구일,592095,39,15182.0
방이,590858,39,15150.0
백운,589392,39,15113.0
백마,588389,39,15087.0
인하대,582715,39,14941.0
관악,581866,39,14920.0
청라국제도시,578211,39,14826.0
월계,576123,39,14772.0
구산,574341,39,14727.0
마천,569856,39,14612.0
경찰병원,569228,39,14596.0
보라매병원,568155,39,14568.0
선바위,563139,39,14439.0
지행,553770,39,14199.0
석촌고분,552809,39,14175.0
양천구청,550820,39,14124.0
인천공항2터미널,545688,39,13992.0
신방화,543867,39,13945.0
금촌,540441,39,13857.0
군포,538634,39,13811.0
구성,537367,39,13779.0
대공원,537119,39,13772.0
덕정,534902,39,13715.0
개롱,533016,39,13667.0
방화,532644,39,13658.0
이매,532010,39,13641.0
가능,525668,39,13479.0
하남검단산,522773,39,13404.0
신금호,522628,39,13401.0
평내호평,520485,39,13346.0
검암,517793,39,13277.0
상월곡(한국과학기술연구원),510892,39,13100.0
애오개,510359,39,13086.0
과천,509145,39,13055.0
산성,508637,39,13042.0
당정,503562,39,12912.0
북한산보국문,500840,39,12842.0
반포,498719,39,12788.0
풍산,495194,39,12697.0
덕계,494738,39,12686.0
송정,490784,39,12584.0
소래포구,484829,39,12432.0
성환,474934,39,12178.0
가좌,474340,39,12163.0
도봉,468358,39,12009.0
강일,467409,39,11985.0
인천,467263,39,11981.0
개화산,465114,39,11926.0
용마산(용마폭포공원),460175,39,11799.0
마장,458122,39,11747.0
문산,457879,39,11740.0
대모산입구,454745,39,11660.0
간석,453601,39,11631.0
인천논현,453290,39,11623.0
암사역사공원,452919,39,11613.0
덕소,450518,39,11552.0
송파나루,448996,39,11513.0
솔샘,448439,39,11498.0
녹사평(용산구청),448171,39,11492.0
중랑,437966,39,11230.0
판교,436022,39,11180.0
금릉,435980,39,11179.0
고색,432624,39,11093.0
온양온천,431173,39,11056.0
매탄권선,430167,39,11030.0
경마공원,428373,39,10984.0
수진,425926,39,10921.0
초지,425437,39,10909.0
매교,424774,39,10892.0
상갈,423719,39,10865.0
신흥,410329,39,10521.0
잠원,405997,39,10410.0
연수,391640,39,10042.0
원종,387089,39,9925.0
대야미,386433,39,9909.0
사리,384327,39,9855.0
송탄,381849,39,9791.0
능곡,380427,39,9755.0
노들,377520,39,9680.0
정릉,370068,39,9489.0
신갈,368985,39,9461.0
원인재,368747,39,9455.0
당곡,367052,39,9412.0
청명,366904,39,9408.0
하남풍산,362962,39,9307.0
개포동,359120,39,9208.0
오목천,355574,39,9117.0
신반포,351193,39,9005.0
아산,350749,39,8994.0
평택지제,348411,39,8934.0
무악재,347625,39,8913.0
녹양,344475,39,8833.0
반월,343752,39,8814.0
영종,342644,39,8786.0
신목동,334949,39,8588.0
마석,334276,39,8571.0
가오리,332387,39,8523.0
녹천,328190,39,8415.0
숭의,324761,39,8327.0
도화,323016,39,8282.0
역촌,321090,39,8233.0
오산대,317011,39,8128.0
호구포,311273,39,7981.0
사평,308421,39,7908.0
4.19민주묘지,304580,39,7810.0
수리산,299348,39,7676.0
광명,297389,39,7625.0
관악산(서울대),294401,39,7549.0
북한산우이,293450,39,7524.0
동작(현충원),288514,39,7398.0
화계,287038,39,7360.0
구룡,284839,39,7304.0
한남,282543,39,7245.0
초월,282148,39,7235.0
도원,277722,39,7121.0
세류,275874,39,7074.0
남춘천,274798,39,7046.0
퇴계원,270150,39,6927.0
세마,267884,39,6869.0
여주,267612,39,6862.0
수색,264778,39,6789.0
창신,263291,39,6751.0
서원,255697,39,6556.0
이천,255576,39,6553.0
양원,254168,39,6517.0
공항시장,250485,39,6423.0
서울지방병무청,250457,39,6422.0
동두천중앙,250167,39,6415.0
한성백제,248349,39,6368.0
강매,245960,39,6307.0
용답,242303,39,6213.0
쌍용(나사렛대),237756,39,6096.0
월곶,232437,39,5960.0
한국항공대,232430,39,5960.0
가평,231521,39,5936.0
소요산,228973,39,5871.0
대곡,225927,39,5793.0
독바위,225108,39,5772.0
용문,223328,39,5726.0
신내,216375,39,5548.0
곤지암,211837,39,5432.0
갈매,210829,39,5406.0
솔밭공원,207749,39,5327.0
별내,207142,39,5311.0
삼양사거리,207095,39,5310.0
서빙고,205547,39,5270.0
용두(동대문구청),202761,39,5199.0
송도,200021,39,5129.0
학여울,199679,39,5120.0
신창(순천향대),198310,39,5085.0
부천종합운동장,196666,39,5043.0
부발,195676,39,5017.0
보정,192526,39,4937.0
삼동,191552,39,4912.0
서강대,190723,39,4890.0
도심,188259,39,4827.0
개화,186439,39,4780.0
보라매공원,184263,39,4725.0
삼양,182726,39,4685.0
남동인더스파크,178278,39,4571.0
사릉,177148,39,4542.0
버티고개,174736,39,4480.0
양수,173518,39,4449.0
동두천,167989,39,4307.0
신길온천,167020,39,4283.0
장암,165872,39,4253.0
월롱,165166,39,4235.0
춘천,161330,39,4137.0
청평,158763,39,4071.0
공항화물청사,158756,39,4071.0
신포,153470,39,3935.0
탕정,149598,39,3836.0
응봉,139559,39,3578.0
보산,137108,39,3516.0
진위,136228,39,3493.0
신답,133949,39,3435.0
천마산,126724,39,3249.0
금곡,123250,39,3160.0
신둔도예촌,123165,39,3158.0
어천,119904,39,3074.0
연천,115696,39,2967.0
서동탄,114991,39,2948.0
전곡,111447,39,2858.0
봉명,109875,39,2817.0
배방,107809,39,2764.0
파주,107609,39,2759.0
도림천,104994,39,2692.0
남태령,103404,39,2651.0
둔촌오륜,102199,39,2620.0
구반포,101249,39,2596.0
운길산,89577,39,2297.0
직산,86323,39,2213.0
팔당,79885,39,2048.0
성남,77756,39,1994.0
국수,60599,39,1554.0
대성리,57422,39,1472.0
곡산,54775,39,1404.0
강촌,51070,39,1309.0
아신,48394,39,1241.0
양정,45044,39,1155.0
김유정,44651,39,1145.0
원덕,31262,39,802.0
세종대왕릉,30471,39,781.0
상천,30097,39,772.0
야목,30014,39,770.0
오빈,26129,39,670.0
신원,16819,39,431.0
청산,12832,39,329.0
굴봉산,11290,39,289.0
백양리,8175,39,210.0
달월,6611,39,170.0
지평,5387,39,138.0
임진강,2849,39,73.0
운천,404,39,10.0
