정리된 역명,총승하차인원,사용일자수,평균 하루 총 승하차인원
구로디지털단지역,2339348,45,51986.0
홍대입구역,1972886,45,43842.0
고속터미널,1671167,45,37137.0
수유역.강북구청,1635394,45,36342.0
미아사거리역,1524973,45,33888.0
신도림역,1303440,45,28965.0
서울역버스환승센터,1264158,45,28092.0
지하철2호선강남역,1234315,45,27429.0
신림사거리.신림역,1076127,45,23914.0
합정역,969745,45,21550.0
경방타임스퀘어.신세계백화점,953630,45,21192.0
돈암사거리.성신여대입구,949948,45,21110.0
동대문역.흥인지문,841552,45,18701.0
논현역,821527,45,18256.0
종로2가,814188,45,18093.0
현대아파트,799985,45,17777.0
개봉역,789573,45,17546.0
청량리역환승센터,785337,45,17452.0
종로1가,773334,45,17185.0
서울대입구역,771052,45,17134.0
잠실역.롯데월드,769457,45,17099.0
숙대입구역,757129,45,16825.0
신분당선강남역,752950,45,16732.0
녹번역,736035,45,16356.0
숭실대입구역,735468,45,16344.0
신용산역,729612,45,16214.0
종로3가.탑골공원,728603,45,16191.0
홍제역,727696,45,16171.0
쌍문역,718559,45,15968.0
수유시장.성신여대미아캠퍼스앞,710908,45,15798.0
수유역,693383,45,15409.0
청량리역환승센타,689866,45,15330.0
광화문,670622,45,14903.0
신촌오거리.현대백화점,648579,45,14413.0
영등포역,642039,45,14268.0
길음뉴타운,642035,45,14267.0
디지털미디어시티역,621787,45,13817.0
마포역,614356,45,13652.0
노량진역,601027,45,13356.0
여의도환승센터,594998,45,13222.0
연희104고지앞.구성산회관,586988,45,13044.0
관악구청,583297,45,12962.0
영천시장,580721,45,12905.0
종로5가.광장시장,572282,45,12717.0
금천우체국,561048,45,12468.0
총신대입구역.남성사계시장입구앞,560824,45,12463.0
미아리고개.미아리예술극장,556680,45,12371.0
노량진수산시장.CTS기독교TV,555094,45,12335.0
동교동삼거리,553399,45,12298.0
염창역.서울도시가스,551064,45,12246.0
동대문역사문화공원,544742,45,12105.0
삼선교.한성대학교.조소앙활동터,541404,45,12031.0
동묘앞,539972,45,11999.0
순천향대학병원,534774,45,11884.0
신대방역,534206,45,11871.0
