역명,일평균승하차인원
잠실,185257
강남,147450
홍대입구,140755
서울역,132473
사당,129933
고속터미널,126123
구로디지털단지,106373
신림,104686
삼성,102951
건대입구,101373
종로3가,99796
역삼,95440
신도림,94988
시청,94841
선릉,94347
합정,93434
을지로입구,89277
서울대입구,88166
교대,86314
노원,80563
성수,78018
가산디지털단지,75398
신촌,74872
혜화,71660
종각,71194
양재,70601
동대문역사문화공원,70581
천호,67469
을지로3가,66471
수유,65726
연신내,65419
대림,64980
명동,63958
압구정,62733
광화문,62270
공덕,61335
동대문,61009
강변,60234
남부터미널,56682
충무로,55318
신사,55012
여의도,53330
쌍문,53300
까치산,53017
화곡,52705
낙성대,52060
미아사거리,51065
회현,50984
안국,50938
창동,50227
군자,49357
경복궁,48897
영등포구청,48800
신대방,48421
종로5가,47501
뚝섬,45620
신당,45281
구의,45124
잠실새내,44162
봉천,43934
학동,43094
오목교,42131
불광,41769
발산,41346
문래,40988
길음,40828
구파발,40700
철산,40583
성신여대입구,40495
청량리,40322
서초,40257
광명사거리,39377
왕십리,38428
문정,38152
을지로4가,38051
이수(총신대입구),37913
당산,37329
신용산,36868
청담,36793
수서,36340
동묘앞,36213
상계,35866
서대문,35792
장한평,35494
강동,34010
홍제,33935
제기동,33568
하계,33477
신설동,33463
응암,33459
암사,33348
미사,33327
논현,33018
가락시장,32672
방배,32632
이대,32452
목동,32256
상봉,32018
약수,31728
강남구청,31602
장지,31562
사가정,30824
어린이대공원,30527
종합운동장,30457
이수,29987
망원,29766
답십리,29722
태릉입구,29321
여의나루,29181
면목,28775
미아,28744
디지털미디어시티,28448
남구로,28348
아차산,28306
녹번,28276
신대방삼거리,27743
숙대입구,27623
충정로,27582
우장산,27540
잠실나루,27433
마포,27117
석촌,27042
내방,27040
숭실대입구,26850
중계,26813
한성대입구,26780
상왕십리,26720
상일동,26645
삼각지,26082
마포구청,26011
광나루,25762
남한산성입구,25151
안암,24412
수락산,24326
마들,24148
이태원,24007
석계,23972
새절,23501
봉은사,23303
신정,23266
공릉,23137
대치,22988
월곡,22754
단대오거리,22690
상도,22404
매봉,22231
한양대,21626
상수,21334
영등포시장,21318
신풍,21300
한강진,21240
천왕,21062
남성,21047
동대입구,20966
마곡,20769
화랑대,20309
중화,20195
올림픽공원,20078
아현,20069
신정네거리,19948
중곡,19907
일원,19896
강동구청,19757
먹골,19476
이촌,19440
도봉산,19195
대청,19062
증산,19041
고덕,18908
뚝섬유원지,18880
거여,18794
오금,18345
돌곶이,18335
온수,18235
굽은다리,18088
대흥,17755
옥수,17662
당고개,17661
명일,17263
장승배기,17237
송파,17237
광흥창,17036
둔촌동,16790
고려대,16650
봉화산,16500
복정,16298
김포공항,16057
길동,15743
금호,14879
하남시청,14810
독립문,14779
행당,14569
보문,14404
청구,14295
방이,14125
마천,13898
경찰병원,13674
양천구청,13545
효창공원앞,13530
양평,13479
보라매,13448
구산,13204
방화,12952
남위례,12934
몽촌토성,12911
중앙보훈병원,12778
지축,12589
하남검단산,12585
월드컵경기장,12568
개롱,12552
애오개,12426
신금호,12375
언주,12093
상월곡,12023
송정,11997
반포,11658
용마산,11199
마장,10914
개화산,10878
선정릉,10595
산성,10323
신흥,10169
수진,10125
녹사평,10112
강일,10111
도곡,9810
잠원,9317
모란,8823
신길,8822
삼전,8687
하남풍산,8438
무악재,8347
삼성중앙,8223
석촌고분,7980
역촌,7934
송파나루,6766
창신,6236
용답,5923
독바위,5451
학여울,4872
용두,4718
버티고개,4188
동작,4006
한성백제,3648
장암,3641
신답,3349
도림천,2498
남태령,2465
둔촌오륜,1398
